company_name,category,website,email,all_emails,contact_name,contact_title,phone,address,linkedin,facebook,instagram,rating,review_count,company_size,hourly_rate,min_project,search_query,profile_url,source,engine,email_verified,score,tier,scraped_at,first_seen_at,last_seen_at,industry,tags,sub_industries,employee_count,firm_size_band,is_enterprise,tag_confidence,tag_source,region,country,city
icepop Digital Marketing Agency,Marketing agency,https://icepop.co/?utm_source=google&utm_medium=organic&utm_campaign=gbp,jordan@icepop.co,jordan@icepop.co; hi@icepop.co,,,+1 310-800-1753,"8306 Wilshire Blvd #873, Beverly Hills, CA 90211, United States",https://www.linkedin.com/company/icepop,,https://www.instagram.com/icepophq/,5.0,39,,,,digital marketing agencies in Los Angeles,https://www.google.com/maps/place/icepop+Digital+Marketing+Agency/data=!4m7!3m6!1s0x4eec9c0623340c13:0xcd2af35770b6025f!8m2!3d34.0637655!4d-118.3723769!16s%2Fg%2F11swz_5hgr!19sChIJEww0Iwac7E4RXwK2cFfzKs0?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,65,B,2026-08-26T13:42:11.849Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,digital-marketing,digital-marketing,,,,false,0.7,rules,north-america,usa,los-angeles
Creative Scope - Web Design & Digital Marketing Agency,Marketing agency,http://www.creativescope.ca/,contact@creativescope.ca,contact@creativescope.ca,,,+1 905-746-9209,"45 Lisgar St, Toronto, ON M6J 0B8, Canada",https://www.linkedin.com/company/smartcomminc/,,,5.0,89,,,,branding agencies in Toronto,https://www.google.com/maps/place/Creative+Scope+-+Web+Design+%26+Digital+Marketing+Agency/data=!4m7!3m6!1s0x882b357d94f3321f:0xcf3e3669148aa831!8m2!3d43.6418882!4d-79.4228811!16s%2Fg%2F11fgm42p5l!19sChIJHzLzlH01K4gRMaiKFGk2Ps8?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,65,B,2026-08-26T13:43:58.262Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,ui-ux-design,ui-ux-design; digital-marketing; web-development,digital-marketing; web-development,,,false,0.7,rules,north-america,canada,toronto
Consagous Technologies LLC,software developer,https://www.consagous.co,inquiry@consagous.co,inquiry@consagous.co; info@consagous.co; hr@consagous.co,,,,"USA, Australia, India",https://www.linkedin.com/company/consagous,https://www.facebook.com/consagoustechnologies,https://www.instagram.com/consagous_technologies/,4.9,7,51 to 250,$26 - $50,Less than - $5000,app-development,https://www.topdevelopers.co/profile/consagous-technologies-llc,topdevelopers,normal_scraper,unknown,65,B,2026-08-26T13:52:52.196Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,151,mid,false,0,rules,south-asia,india,
S-PRO,software developer,https://s-pro.io/android-app-development,hi@s-pro.io,hi@s-pro.io; jack@greensock.com,,,,"Ukraine, USA, Netherlands+2",https://www.linkedin.com/company/s-pro/,https://www.facebook.com/sprocompany,https://www.instagram.com/sprocompany/,5.0,10,51 to 250,$51 - $100,$10001 - $25000,app-development,https://www.topdevelopers.co/profile/s-pro,topdevelopers,normal_scraper,unknown,65,B,2026-08-26T13:52:52.196Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,mobile-apps,mobile-apps,,151,mid,false,0.8999999999999999,rules,europe,netherlands,
B2C Info Solutions,software developer,https://www.b2cinfosolutions.com/,sales@b2cinfosolutions.com,sales@b2cinfosolutions.com; info@b2cinfosolutions.com; hr@b2cinfosolutions.com,,,,"India, USA, UK+2",https://www.linkedin.com/company/b2c-info-solutions-pvt-ltd/,https://www.facebook.com/B2C-Info-Solutions-111572623511231,https://www.instagram.com/b2cinfosolutions/,5.0,18,51 to 250,Up to $25,$5001 - $10000,app-development,https://www.topdevelopers.co/profile/b2cinfosolutions,topdevelopers,normal_scraper,unknown,65,B,2026-08-26T13:52:52.196Z,2026-08-25T07:39:13.888+00:00,2026-08-25T07:39:13.888+00:00,,,,151,mid,false,0,rules,south-asia,india,
White Orange Software,software developer,http://whiteorangesoftware.com,hr@whiteorangesoftware.com,hr@whiteorangesoftware.com; info@whiteorangesoftware.com,,,,India,//www.linkedin.com/company/whiteorangesoftware,,https://www.instagram.com/p/C8MIYoNAuA_/,5.0,7,51 to 250,$26 - $50,$10001 - $25000,app-development,https://www.topdevelopers.co/profile/white-orange-software,topdevelopers,normal_scraper,unknown,65,B,2026-08-26T13:52:52.196Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,151,mid,false,0,rules,south-asia,india,
SDLC Corp,software developer,http://sdlccorp.com/,sales@sdlccorp.com,sales@sdlccorp.com; you@company.com,,,,"USA, Thailand, Malaysia+12",https://www.linkedin.com/company/sdlccorp,,https://www.instagram.com/sdlccorp,5.0,5,251 to 1000,$26 - $50,$25001 - $50000,app-development,https://www.topdevelopers.co/profile/sdlccorp,topdevelopers,normal_scraper,unknown,65,B,2026-08-26T13:52:52.196Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,626,large,false,0,rules,southeast-asia,malaysia,
Helpful Insight Pvt Ltd,software developer,https://www.helpfulinsightsolution.com,sales@helpfulinsightsolution.com,sales@helpfulinsightsolution.com; helpfulinsightsolution@gmail.com,,,,"India, USA",https://www.linkedin.com/company/helpful-insight-pvt-ltd,https://www.facebook.com/helpfulinsight,https://www.instagram.com/helpful_insight,5.0,7,51 to 250,Up to $25,Less than - $5000,app-development,https://www.topdevelopers.co/profile/helpful-insight-pvt-ltd,topdevelopers,normal_scraper,unknown,65,B,2026-08-26T13:52:52.196Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,151,mid,false,0,rules,south-asia,india,
Fively,software developer,https://5ly.co,contact@fively.dev,contact@fively.dev; contact@5ly.co,Charles Chase,Founder at ComFi,,$5001 - $10000,https://www.linkedin.com/company/fively,https://www.facebook.com/people/Fively/100057586443898/,https://www.instagram.com/fively_co/,5.0,3,,51 to 250,$51 - $100,software-development,https://www.topdevelopers.co/profile/fively,topdevelopers,normal_scraper,unknown,65,B,2026-08-26T13:53:37.044Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,,,
Openxcell,software developer,https://www.openxcell.com/,sales@openxcell.com,sales@openxcell.com,Bryan Rivers,"CEO, Malibbo",,$5001 - $10000,https://www.linkedin.com/company/openxcell,https://www.facebook.com/openxcellai/,,5.0,15,,251 to 1000,Up to $25,software-development,https://www.topdevelopers.co/profile/openxcell,topdevelopers,normal_scraper,unknown,65,B,2026-08-26T13:53:37.044Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,,,
Code Brew Labs,software developer,https://www.code-brew.com/mobile-app-development-company-developers-dubai/,business@code-brew.com,business@code-brew.com,Ashneer Grover,Founder at BharatPe,,$5001 - $10000,https://www.linkedin.com/company/code-brew-labs/posts/,https://www.facebook.com/codebrewlabs/,https://www.instagram.com/codebrewlabs/#,5.0,6,,251 to 1000,$26 - $50,software-development,https://www.topdevelopers.co/profile/code-brew-labs,topdevelopers,normal_scraper,unknown,65,B,2026-08-26T13:53:37.044Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,mobile-apps,mobile-apps,,,,false,0.8999999999999999,rules,,,
sprylab technologies GmbH,software developer,https://sprylab.com,hello@sprylab.com,hello@sprylab.com,Arthur Silber,Managing Director,,Not Disclosed -,https://de.linkedin.com/company/sprylab,,,5.0,1,50 - 249,51 to 250,Not Disclosed,software-development,https://www.topdevelopers.co/profile/sprylab-technologies-gmbh,topdevelopers,normal_scraper,unknown,65,B,2026-08-26T13:53:37.044Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,150,mid,false,0,rules,,,
Element8 | web design company dubai,Website designer,https://www.element8.ae/,info@element8.ae,info@element8.ae,Amit Intl,Marketing Manager,+971 4 354 5956,IT Plaza - Office No 1009 - Dubai Silicon Oasis - Dubai - United Arab Emirates,https://www.linkedin.com/company/element-8,https://www.facebook.com/element8me,https://www.instagram.com/element8creative/,4.3,78,,,,web development agencies in Dubai,https://www.google.com/maps/place/Element8+%7C+web+design+company+dubai/data=!4m7!3m6!1s0x3e5f134f321a38cd:0x31b6a901fdec9162!8m2!3d25.1213351!4d55.3985437!16s%2Fg%2F1tncrcpx!19sChIJzTgaMk8TXz4RYpHs_QGptjE?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T10:16:00.850Z,,,web-development,web-development; ui-ux-design,ui-ux-design,,,false,0.7999999999999999,rules,middle-east,uae,dubai
Bytrix Technologies LLC - Mobile & Game App Development Company Dubai,Software company,https://bytrix.com/,hello@bytrix.com,hello@bytrix.com; support@bytrix.com; hello@bytrix.co.uk,GO BACK,Chief Technology Officer,+971 58 513 6793,"Marina Plaza, Level 32 - Dubai - United Arab Emirates",https://www.linkedin.com/company/bytrix-technologies/,https://www.facebook.com/Bytrixtechnologies/,https://www.instagram.com/bytrix.technologies/,4.6,11,,,,app development companies in Dubai,https://www.google.com/maps/place/Bytrix+Technologies+LLC+-+Mobile+%26+Game+App+Development+Company+Dubai/data=!4m7!3m6!1s0x3e5f6d6ea9e056a7:0x3b106ffcff942a6c!8m2!3d25.0753976!4d55.1398252!16s%2Fg%2F11vpv2n6rh!19sChIJp1bgqW5tXz4RbCqU__xvEDs?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T10:17:51.851Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,mobile-apps,mobile-apps,,,,false,0.8999999999999999,rules,middle-east,uae,dubai
"Quytech – AI App Development, Mobile App Development, Software Development Company",Software company,https://www.quytech.com/,sales@quytech.com,sales@quytech.com; info@quytech.com,,,,"P/162 Building 3, 2nd floor - Office 6 Al Khazzaf Street - Al Nahyan Camp - W27 - Abu Dhabi - United Arab Emirates",https://www.linkedin.com/company/quytech,https://www.facebook.com/Quytech,,5.0,2,51 to 250,$26 - $50,$25001 - $50000,software development companies in Abu Dhabi,"https://www.google.com/maps/place/Quytech+%E2%80%93+AI+App+Development,+Mobile+App+Development,+Software+Development+Company/data=!4m7!3m6!1s0x3e5e6999eb73ff3d:0xa5b3ceac16fcc080!8m2!3d24.4364581!4d54.3666375!16s%2Fg%2F11z10y6m8c!19sChIJPf9z65lpXj4RgMD8FqzOs6U?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1",google_maps,normal_scraper,unknown,64,B,2026-08-26T10:23:39.050Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,mobile-apps,mobile-apps; ai-ml,ai-ml,151,mid,false,0.7999999999999999,rules,middle-east,uae,abu-dhabi
Xibtech Solutions,Software company,https://www.xibtechs.com/,contact@xibtechs.com,contact@xibtechs.com; sales@xibtechs.com,,,+971 50 847 3585,"Sharjah Publishing City, Zahia Al Zahia Area - Sheikh Mohammed Bin Zayed Rd - Muwaileh Commercial - Al Zahia - Sharjah - United Arab Emirates",https://www.linkedin.com/company/xibtech-solutions/,https://www.facebook.com/profile.php,https://www.instagram.com/xibtech/,4.5,15,,,,IT companies in Sharjah,https://www.google.com/maps/place/Xibtech+Solutions/data=!4m7!3m6!1s0x926f6ebc9a2897d:0x6884881948ee3bed!8m2!3d25.3198751!4d55.4587204!16s%2Fg%2F11k599xxwn!19sChIJfYmiyev2JgkR7TvuSBmIhGg?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T10:31:17.017Z,2026-08-25T07:39:13.888+00:00,2026-08-25T07:39:13.888+00:00,ui-ux-design,ui-ux-design; web-development; erp-sap,web-development; erp-sap,,,false,0.5,web,middle-east,uae,sharjah
TeleNoc HQ - هلكون لتقنية المعلومات,Software company,https://telenocgroup.com/,contact@telenocgroup.com,contact@telenocgroup.com,,,+966 11 466 6664,"Olaya View Tower, 2nd Floor, Office No. 4027 Saudi Arabia",https://www.linkedin.com/company/telenoc,https://facebook.com/TeleNoc/,,4.1,51,,,,software companies in Riyadh,https://www.google.com/maps/place/TeleNoc+HQ+-+%D9%87%D9%84%D9%83%D9%88%D9%86+%D9%84%D8%AA%D9%82%D9%86%D9%8A%D8%A9+%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2f032efa1a19cd:0xd9f38c30e35ab986!8m2!3d24.7139321!4d46.6726567!16s%2Fg%2F1hhg_8nq7!19sChIJzRka-i4DLz4Rhrla4zCM89k?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T10:32:43.208Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,erp-sap,erp-sap; data-analytics-bi; ai-ml; cloud-devops; cybersecurity; web-development; ui-ux-design; professional-services,data-analytics-bi; ai-ml; cloud-devops; cybersecurity; web-development; ui-ux-design; professional-services,,,false,0.65,web,middle-east,saudi-arabia,riyadh
Future Look Information Technology & Communication لمحة المستقبل لتكنولوجيا المعلومات والاتصالات,Information services,http://www.flitc.ai/,hala@flitc.com,hala@flitc.com,,,+966 9200 12932,"Musa Ibn Nusair St، بعد، مبنى رقم ٢، شارع الملك فهد الفرعي, Riyadh 12211, Saudi Arabia",https://www.linkedin.com/company/future-look-itc/,,,4.9,12,,,,tech startups in Riyadh,https://www.google.com/maps/place/Future+Look+Information+Technology+%26+Communication+%D9%84%D9%85%D8%AD%D8%A9+%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84+%D9%84%D8%AA%D9%83%D9%86%D9%88%D9%84%D9%88%D8%AC%D9%8A%D8%A7+%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA+%D9%88%D8%A7%D9%84%D8%A7%D8%AA%D8%B5%D8%A7%D9%84%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e2f03ec4e5db8cd:0x754b7c1b02a58dcf!8m2!3d24.702449!4d46.6774464!16s%2Fg%2F11pf6rf2p3!19sChIJzbhdTuwDLz4Rz42lAht8S3U?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T10:35:22.762Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,ai-ml,ai-ml,,,,false,0.7,rules,middle-east,saudi-arabia,riyadh
Palmate Technologies,Software company,https://www.palmate.sa/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16216575951872062360,hello@palmate.biz,hello@palmate.biz; info@palmate.sa,,,+966 53 542 0507,"L7, Al Murjanah Tower Prince Sultan St , Ar Rawdah 10113, Jeddah 21433, Saudi Arabia",https://www.linkedin.com/company/palmate-technologies,https://www.facebook.com/palmatetechnologies,https://www.instagram.com/palmate_technologies/,4.6,14,,,,software development companies in Jeddah,https://www.google.com/maps/place/Palmate+Technologies/data=!4m7!3m6!1s0x15c3cfc5a58d0f59:0x778148f4fb6c35e1!8m2!3d21.5677404!4d39.143579!16s%2Fg%2F11h58f18sk!19sChIJWQ-NpcXPwxUR4TVs-_RIgXc?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T10:37:11.940Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,erp-sap,erp-sap; hospitality-retail; education-training; manufacturing-industrial,hospitality-retail; education-training; manufacturing-industrial,,,false,0.45,web,middle-east,saudi-arabia,jeddah
Alnafitha IT | Jeddah,Computer support and services,http://www.alnafitha.com/,info@alnafitha.com,info@alnafitha.com,,,+966 9200 08108,"Rovan Tower, 3940 Prince Saud Al Faisal, Ar Rawdah, 5th Floor, Office No. 506, Jeddah 23433, Saudi Arabia",https://www.linkedin.com/company/alnafitha_it/,https://www.facebook.com/alnafithaIT,,4.4,60,,,,IT companies in Jeddah,https://www.google.com/maps/place/Alnafitha+IT+%7C+Jeddah/data=!4m7!3m6!1s0x15c3d0a0c097941f:0x7feaaf80bd47f0ea!8m2!3d21.562196!4d39.1613095!16s%2Fg%2F12lrb_65y!19sChIJH5SXwKDQwxUR6vBHvYCv6n8?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T10:39:07.806Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,data-analytics-bi,data-analytics-bi; cybersecurity; web-development; cloud-devops; digital-marketing; education-training,cybersecurity; web-development; cloud-devops; digital-marketing; education-training,,,false,0.6,web,middle-east,saudi-arabia,jeddah
IM Solutions (Web Design Company),Internet marketing service,https://imsolutionz.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,info@imholding.co.uk,info@imholding.co.uk,Elhadithah Lelalaaf,Marketing Director,+20 10 28905553,"203, 26th July St, Sphinx Square, Egypt",https://www.linkedin.com/company/im-solutionz/,https://www.facebook.com/share/17XRp4XnjH/,https://www.instagram.com/imsolutionz,4.4,56,,,,web development companies in Cairo,https://www.google.com/maps/place/IM+Solutions+%28Web+Design+Company%29/data=!4m7!3m6!1s0x14584118b787779b:0x6d341719d0a5ad46!8m2!3d30.0618994!4d31.2101846!16s%2Fg%2F1hg519dxl!19sChIJm3eHtxhBWBQRRq2l0BkXNG0?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T11:05:24.389Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,web-development,web-development; ui-ux-design,ui-ux-design,,,false,0.6,rules,middle-east,egypt,cairo
ICT Systems PVT Ltd.,Software company,https://www.ictsystems.com.pk/,info@ictsystems.com.pk,info@ictsystems.com.pk,,,+92 331 3223528,"2nd Floor, ICT Building, 9-A-1, Main Shahra-e-Faisal, beside Hotel Faran, Block-6 PECHS Extension Nursery P.E.C.H.S., Karachi, 07546, Pakistan",https://www.linkedin.com/company/ict-systems-pvt-ltd-pakistan-office,https://www.facebook.com/ictsystemspk/,https://www.instagram.com/ictsystemspvtltdpakistan/,4.4,83,,,,software companies in Karachi,https://www.google.com/maps/place/ICT+Systems+PVT+Ltd./data=!4m7!3m6!1s0x3eb33ed9678012e9:0xf8663c4d10ecf9d4!8m2!3d24.8599647!4d67.0629463!16s%2Fg%2F11g6mvs265!19sChIJ6RKAZ9k-sz4R1PnsEE08Zvg?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T11:18:05.525Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,manufacturing-industrial,manufacturing-industrial; web-development; mobile-apps; digital-marketing; logistics-transport; real-estate; ecommerce; erp-sap; hospitality-retail; automotive; media-entertainment; beauty-wellness,web-development; mobile-apps; digital-marketing; logistics-transport; real-estate; ecommerce; erp-sap; hospitality-retail; automotive; media-entertainment; beauty-wellness,,,false,0.6,web,south-asia,pakistan,karachi
Sunplus Software Technologies Pvt. Ltd,Software company,https://sunplussoftware.com/,info@sunplussoftware.com,info@sunplussoftware.com,WHY SUNPLUS,Partner of Choice For Technology Transformation.,+91 80 4300 3225,"Deepika, 8/1, Richmond Rd, opposite to new Udupi Upahar and besides HDFC bank, Bengaluru, Karnataka 560027, India",https://www.linkedin.com/company/sunplussoftware/,https://www.facebook.com/sunplussoftware/,,4.4,92,,,,software companies in Bangalore,https://www.google.com/maps/place/Sunplus+Software+Technologies+Pvt.+Ltd/data=!4m7!3m6!1s0x3bae142aac1c6dc1:0xee30d20a0d56a3a9!8m2!3d12.9642836!4d77.5965611!16s%2Fg%2F11dymc5205!19sChIJwW0crCoUrjsRqaNWDQrSMO4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T11:28:59.794Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,south-asia,india,bangalore
Skit.ai,Software company,https://skit.ai/,j.miller@gmail.com,j.miller@gmail.com,,,+91 89795 64068,"648/1/J, Old Madras Rd, Binnamangala, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560038, India",https://www.linkedin.com/company/skit-ai/,,,4.5,42,,,,AI companies in Bangalore,https://www.google.com/maps/place/Skit.ai/data=!4m7!3m6!1s0x3bae11e5199070f3:0xf79c94048f80c1ec!8m2!3d12.9837148!4d77.6389392!16s%2Fg%2F11g8188ghr!19sChIJ83CQGeURrjsR7MGAjwSUnPc?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T11:34:32.883Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,ai-ml,ai-ml,,,,false,0.7,rules,south-asia,india,bangalore
Zackriya Solutions,Software company,https://zackriya.com/,hello@zackriya.com,hello@zackriya.com,,,+91 90744 94157,"1st Floor, No, 625, 1st Main Rd, 6th Sector, HSR Layout, Bengaluru, Karnataka 560102, India",https://in.linkedin.com/company/zackriya-solutions,,,5.0,13,,,,AI companies in Bangalore,https://www.google.com/maps/place/Zackriya+Solutions/data=!4m7!3m6!1s0x3bae14f15048c5d5:0x3f0b39aa277fd85c!8m2!3d12.9172059!4d77.6243658!16s%2Fg%2F11hswnlqss!19sChIJ1cVIUPEUrjsRXNh_J6o5Cz8?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T11:34:32.883Z,2026-08-10T00:21:12.154+00:00,2026-08-10T00:21:12.154+00:00,ai-ml,ai-ml,,,,false,0.7,rules,south-asia,india,bangalore
Perfectiongeeks Technologies,Software company,https://www.perfectiongeeks.com/,sales@perfectiongeeks.com,sales@perfectiongeeks.com; info@perfectiongeeks.com,,,+91 89209 47884,"27/132, Sector 3, Sector 3G, Rohini, Delhi, 110085, India",,,,5.0,37,10 - 49,$50 - $99 / hr,"$10,000+",software companies in Delhi,https://www.google.com/maps/place/Perfectiongeeks+Technologies/data=!4m7!3m6!1s0x390d016af246e387:0xab921c014b1ccf8e!8m2!3d28.7049923!4d77.1031235!16s%2Fg%2F11fn1x8hzt!19sChIJh-NG8moBDTkRjs8cSwEckqs?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T11:40:03.560Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,30,mid,false,0,rules,south-asia,india,delhi
AI Account Pte Ltd - Singapore Cloud Accounting Software Company (By Appointment Only),Software company,https://www.aiaccount.com/,info@aiaccount.com,info@aiaccount.com,JT Lim,"Director, CEO Corporate Services Sdn Bhd",,"101 Thomson Rd, #06-00/01A United Square, Singapore 307591",,,,4.9,116,,,,software companies in Singapore,https://www.google.com/maps/place/AI+Account+Pte+Ltd+-+Singapore+Cloud+Accounting+Software+Company+%28By+Appointment+Only%29/data=!4m7!3m6!1s0x31da193e81f71663:0x6635e290f83068a2!8m2!3d1.317325!4d103.8435452!16s%2Fg%2F11l6bgbb88!19sChIJYxb3gT4Z2jERomgw-JDiNWY?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T11:49:19.567Z,,,ai-ml,ai-ml; cloud-devops; erp-sap; professional-services,cloud-devops; erp-sap; professional-services,,,false,0.6,rules,southeast-asia,singapore,
PALO IT Singapore,Software company,https://www.palo-it.com/en/,contact-academy@palo-it.com,contact-academy@palo-it.com; australia@palo-it.com; hongkong@palo-it.com,,,+65 6250 4620,"11 Beach Rd, #06-01, Singapore 189675",https://www.linkedin.com/company/palo-it/,,,4.7,33,,,,IT companies in Singapore,https://www.google.com/maps/place/PALO+IT+Singapore/data=!4m7!3m6!1s0x31da190b691fac67:0xd46d174d644d334d!8m2!3d1.2953681!4d103.8552474!16s%2Fg%2F1ptz6tz7b!19sChIJZ6wfaQsZ2jERTTNNZE0XbdQ?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T11:51:03.630Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,,,,,,false,0,rules,southeast-asia,singapore,
Global BrainForce,Software company,https://globalbrainforce.ph/,careers@globalbrainforce.com,careers@globalbrainforce.com,,,+63 2 8869 7018,,https://www.linkedin.com/company/global-brainforce/,https://www.facebook.com/GlobalBrainforce,https://www.instagram.com/global_brainforce/,4.1,265,,,,software companies in Manila,https://www.google.com/maps/place/Global+BrainForce/data=!4m7!3m6!1s0x3397c90c589c9d43:0xe66e73a75646ca8!8m2!3d14.1576412!4d-106.6918595!16s%2Fg%2F11bwflx8fx!19sChIJQ52cWAzJlzMRqGxkdTrnZg4?authuser=0&hl=en&g_ep=EgoyMDI2MDgyMy4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T12:00:34.611Z,2026-08-10T00:21:12.154+00:00,2026-08-10T00:21:12.154+00:00,,,,,,false,0,rules,southeast-asia,philippines,manila
Webpage Conversion,Website designer,https://webpageconversion.com/,info@webpageconversion.com,info@webpageconversion.com,Jaymar Villamor,Founder,+63 936 411 8276,"1152 Kalayaan, San Antonio, Cavite, Philippines",,https://www.facebook.com/webpageconversion,https://www.instagram.com/webpageconversion,4.9,51,,,,web development agencies in Manila,https://www.google.com/maps/place/Webpage+Conversion/data=!4m7!3m6!1s0x3397cd56178880ff:0x414300743343c56d!8m2!3d14.4865232!4d120.897492!16s%2Fg%2F11fn23g26l!19sChIJ_4CIF1bNlzMRbcVDM3QAQ0E?authuser=0&hl=en&g_ep=EgoyMDI2MDgyNC4wIJJjKgBIAVAD&rclk=1,google_maps,normal_scraper,unknown,64,B,2026-08-26T12:02:15.554Z,2026-08-10T00:21:12.154+00:00,2026-08-25T07:39:13.888+00:00,web-development,web-development,,,,false,0.8999999999999999,rules,southeast-asia,philippines,manila
